indicator,ISO Country code,population,population,population,population,population,surface area (Km2),,GINI index,happy planet index,happy planet index,happy planet index,happy planet index,happy planet index,human development index,human development index,human development index,human development index,human development index,sustainable economic development assessment (SEDA),,"GDP growth
(annual %)","GDP growth
(annual %)","GDP growth
(annual %)","GDP growth
(annual %)","GDP growth
(annual %)","GDP 
($ USD billions PPP)","GDP 
($ USD billions PPP)","GDP 
($ USD billions PPP)","GDP 
($ USD billions PPP)",GDP per capita in $ (PPP),GDP per capita in $ (PPP),GDP per capita in $ (PPP),GDP per capita in $ (PPP),Economic Growth,,,"health expenditure 
% of GDP","health expenditure 
% of GDP","health expenditure 
% of GDP","health expenditure 
% of GDP","health expenditure 
% of GDP","health expenditure 
% of GDP","health expenditure 
% of GDP","health expenditure 
% of GDP","health expenditure 
per person","health expenditure 
per person","health expenditure 
per person",infant mortality,"maternal mortality per 100,000 live births",,"education expenditure
% of GDP","education expenditure
% of GDP","education expenditure
% of GDP",Education as % of GDP,Education as % of GDP,% of primary school aged kids out of school,% of primary school aged kids out of school,,unemployment (%),unemployment (%),unemployment (%),unemployment (%),unemployment (%),% of population in extreme poverty,% of population with access to electricity,,political rights score ,,civil liberties score ,,political stability & absence of violence,,government effectiveness,,regulatory quality,,rule of law,,control of corruption,,judicial effectiveness score,,government integrity score,,overall economic freedom score,,financial freedom score,,government expenditure (% of GDP),,CO2e emissions per capita,CO2e emissions per capita,CO2e emissions per capita,CO2e emissions per capita,CO2e emissions per capita,share of electricity from renewables generation,,% of seats held by women in national parliaments,% of seats held by women in national parliaments,% of seats held by women in national parliaments,% of seats held by women in national parliaments,% of seats held by women in national parliaments,Military Spending as % of GDP,Military Spending as % of GDP,Military Spending as % of GDP,Military Spending as % of GDP,Military Spending as % of GDP
Eswatini,SWZ,"1,151,390","1,160,428","1,169,613","1,180,655","1,192,271","17,204",,50.40,15.50,-,33.30,35.30,-,0.59,0.61,0.62,0.61,0.60,-,,2.03,1.70,2.70,7.43,7.88,9.7,9.9,9.8,10.5,8725.11,9018.12,8865.02,9815.81,2.38,7.43,,7.07,5.36,5.41,6.14,5.68,5.65,5.34,5.00,-,298.1,264.1,-,437,,-,5.68,5.00,5.68,5.00,16.35,-,,22.75,25.30,22.84,25.51,25.76,-,79.73,,1.00,1.00,15.00,16.00,-0.30,-0.03,-0.58,-0.73,-0.56,-0.58,-0.29,-0.56,-0.30,-0.65,35.30,36.90,26.90,32.10,55.90,51.40,40.00,40.00,34.10,,0.68,0.74,0.77,0.78,0.84,0.54,,6.20,7.25,7.00,9.60,9.59,87.80,95.90,86.50,75.00,81.10
Ethiopia,ETH,"108,197,950","111,129,438","114,120,594","117,190,911","120,283,026","1,000,000",,33.00,26.70,41.60,43.20,41.70,45.40,0.46,0.49,0.50,0.50,0.50,32.30,,9.56,10.20,8.36,5.64,5.64,229.8,249.0,264.1,278.9,2153.77,2315.16,2422.68,2599.74,6.82,5.64,,4.60,4.74,5.06,5.65,5.07,-,-,5.07,66,24.3,26.7,3.2,401,,-,5.07,-,5.07,5.07,-,12.79,,2.30,5.70,2.33,3.24,3.69,-,51.09,,4.00,12.00,8.00,11.00,-1.69,-2.07,-0.70,-0.61,-1.01,-0.93,-0.45,-0.61,-0.56,-0.40,37.60,20.50,37.70,33.20,52.80,49.60,20.00,20.00,17.70,,0.13,0.14,0.15,0.16,0.16,1.00,,38.80,38.76,39.00,38.80,42.59,513.80,517.00,536.00,504.10,487.80
Fiji,FJI,"919,019","918,996","918,465","920,422","924,610","18,274",,-,-,-,-,-,-,0.74,0.75,0.75,0.74,0.73,49.00,,5.35,4.30,-0.58,-4.08,-5.11,12.2,12.2,10.3,9.9,14176.91,14261.83,12158.24,12059.78,3.81,-4.08,,4.27,4.81,4.84,4.65,4.84,5.07,-,5.07,331,216.1,235.7,3.4,34,,-,4.84,5.07,4.84,5.07,-,1.18,,4.28,7.90,4.45,4.72,5.24,0.20,100.00,,24.00,23.00,35.00,35.00,0.79,0.67,0.09,0.62,-0.22,0.00,-0.25,0.31,0.36,0.47,47.10,43.40,34.80,54.30,62.00,56.40,50.00,50.00,32.60,,1.50,1.66,1.80,1.77,1.83,0.46,,16.00,19.61,20.00,19.60,21.57,75.30,81.40,79.00,72.20,70.50
Finland,FIN,"5,508,214","5,515,525","5,521,606","5,529,543","5,541,017","303,815",,27.20,31.30,51.00,51.20,51.30,54.60,0.92,0.94,0.94,0.94,0.94,81.30,,3.19,0.40,1.22,3.47,2.97,265.0,268.3,262.1,271.2,49580.61,50321.54,50937.16,55006.65,1.14,3.47,,7.10,7.03,6.85,6.36,6.28,-,-,6.28,"3,669",4515.7,4450.3,23.0,3,,7.15,6.28,-,6.28,-,1.33,-,,8.64,9.00,6.69,7.76,7.53,-,100.00,,40.00,40.00,60.00,60.00,1.07,0.98,1.94,1.96,1.82,1.90,2.03,2.06,2.22,2.27,82.70,97.80,89.80,96.40,74.10,78.30,80.00,80.00,57.10,,7.81,8.32,7.81,8.08,7.37,0.46,,42.00,42.00,47.00,46.00,46.00,3431.10,3756.90,3629.60,4087.50,5903.50
France,FRA,"66,918,020","67,158,348","67,388,001","67,571,107","67,749,632","549,970",,29.30,30.40,50.60,51.20,51.80,54.40,0.90,0.90,0.91,0.90,0.90,73.90,,2.29,1.10,1.84,6.96,6.82,"3,038.6","3,094.6","2,851.6","3,050.1",46576.60,49072.36,46991.18,50728.67,1.87,6.96,,-,-,-,5.45,5.41,-,-,5.41,"4,542",4657.8,4491.7,-,8,,5.52,5.41,-,5.41,-,0.01,-,,9.41,10.00,8.41,8.01,8.06,-,100.00,,38.00,38.00,52.00,51.00,0.21,0.37,1.35,1.27,1.16,1.24,1.44,1.29,1.26,1.31,72.70,85.50,65.10,75.90,63.90,65.90,70.00,70.00,57.00,,4.68,4.70,4.75,4.57,4.47,0.17,,39.00,39.58,40.00,39.50,39.51,49195.70,51409.80,50118.90,52747.10,56647.00
Gabon,GAB,"2,140,215","2,192,012","2,242,785","2,292,573","2,341,179","257,667",,42.20,17.50,39.50,39.30,39.90,-,0.70,0.71,0.71,0.71,0.71,40.90,,0.47,4.00,3.92,1.51,1.46,31.2,32.5,31.9,32.4,15095.93,15576.64,15105.13,15597.52,0.84,1.51,,2.67,2.99,2.66,3.33,2.93,2.73,3.18,3.18,481,218.5,215.0,3.6,252,,-,2.93,3.18,2.93,3.18,-,-,,20.72,18.50,20.74,21.97,22.26,-,91.57,,4.00,3.00,19.00,18.00,-0.09,-0.09,-0.94,-0.78,-0.79,-0.81,-0.68,-0.70,-0.81,-0.85,27.80,18.60,33.40,24.40,58.00,55.80,40.00,40.00,22.60,,3.02,3.08,2.49,2.34,2.42,0.45,,17.10,-,18.00,14.80,16.20,-,-,-,-,-
"Gambia, The",GMB,"2,381,182","2,444,916","2,508,883","2,573,995","2,639,916","10,120",,50.20,-,-,-,-,-,0.46,0.50,0.50,0.50,0.50,-,,4.82,4.40,6.22,5.63,4.27,4.9,5.2,5.2,5.5,2209.63,2320.31,2276.65,2433.90,7.23,5.63,,2.23,2.16,2.02,2.46,2.37,2.79,2.76,2.76,-,35.8,29.7,51.4,597,,-,2.37,2.76,2.37,2.76,18.19,13.63,,9.48,29.70,9.50,11.08,11.21,-,62.27,,20.00,21.00,21.00,26.00,-,0.18,-,-0.64,-,-0.87,-,-0.39,-,-0.36,38.80,37.20,36.80,38.10,52.30,58.00,50.00,50.00,29.40,,0.24,0.23,0.23,0.22,0.25,-,,10.30,10.34,10.00,8.60,8.62,-,-,-,-,-
Georgia,GEO,"3,728,004","3,726,549","3,720,161","3,722,716","3,708,610","69,700",,40.10,31.10,42.60,43.40,44.30,45.70,0.78,0.80,0.81,0.80,0.80,55.40,,4.84,2.80,4.98,10.36,10.47,53.1,55.8,52.0,57.4,14593.92,15621.87,14731.20,16997.15,4.84,10.36,,3.00,3.16,3.59,3.57,3.52,3.81,3.85,3.85,718,312.7,291.1,33.0,25,,-,3.52,3.85,3.52,3.85,0.79,0.62,,13.94,11.60,11.57,18.50,10.66,1.50,100.00,,26.00,22.00,38.00,36.00,-0.37,-0.42,0.57,0.65,1.05,1.06,0.33,0.17,0.74,0.69,64.20,56.40,61.80,64.40,76.20,71.80,60.00,70.00,29.80,,2.47,2.59,2.61,2.57,2.72,0.79,,16.00,16.00,15.00,20.70,19.33,321.10,333.90,310.60,287.90,302.10
Germany,DEU,"82,657,002","82,905,782","83,092,962","83,160,871","83,196,078","348,672",,27.00,29.80,51.70,52.50,52.70,56.80,0.94,0.95,0.95,0.94,0.94,79.60,,2.68,1.50,1.06,2.89,2.63,"4,434.4","4,481.2","4,276.4","4,400.1",55235.37,55652.89,54844.55,57927.59,1.09,2.89,,4.92,4.86,4.84,4.87,4.98,-,-,4.98,"5,357",5482.0,5440.3,47.2,7,,4.93,4.98,-,4.98,-,0.69,-,,3.75,4.30,3.14,3.81,3.54,-,100.00,,39.00,39.00,55.00,55.00,0.58,0.76,1.72,1.33,1.78,1.63,1.61,1.61,1.84,1.81,78.00,95.30,75.30,89.40,74.20,76.10,70.00,70.00,44.20,,9.09,9.07,8.86,8.54,7.91,0.32,,37.00,30.75,31.00,31.20,34.92,42210.30,46423.00,49007.50,53211.00,56017.00
Ghana,GHA,"30,222,262","30,870,641","31,522,290","32,180,401","32,833,031","227,533",,42.30,21.40,42.60,39.70,39.50,42.20,0.59,0.62,0.63,0.63,0.63,40.20,,8.13,3.50,6.51,5.36,5.36,158.2,168.5,169.4,178.5,5442.24,5773.86,5749.66,6178.29,6.20,5.36,,4.40,4.43,4.39,3.53,3.89,-,-,3.89,249,76.8,75.3,-,308,,6.16,3.89,-,3.89,-,3.62,5.98,,4.22,5.80,4.32,4.65,4.70,-,85.87,,37.00,35.00,46.00,45.00,0.09,0.07,-0.11,-0.15,-0.14,-0.20,0.13,-0.08,-0.23,-0.11,43.70,57.00,32.90,45.40,56.00,59.80,60.00,60.00,26.50,,0.55,0.54,0.56,0.61,0.66,0.52,,12.70,12.73,13.00,13.10,14.55,189.10,218.40,233.30,239.90,298.30
Greece,GRC,"10,754,679","10,732,882","10,721,582","10,698,599","10,641,221","130,647",,36.70,23.60,43.60,45.30,48.80,51.50,0.87,0.89,0.89,0.89,0.89,64.10,,1.09,-0.20,1.88,8.34,8.43,312.8,318.4,289.7,313.8,29617.55,30356.27,27948.65,31295.15,1.67,8.34,,-,3.66,-,3.48,3.60,-,-,3.60,"2,204",1572.7,1500.6,14.5,3,,-,3.60,-,3.60,-,1.43,0.89,,21.49,23.90,17.31,16.30,14.80,0.40,100.00,,35.00,37.00,50.00,50.00,-0.13,0.15,0.31,0.44,0.24,0.44,0.08,0.35,-0.14,0.21,59.00,69.90,37.90,52.30,57.30,61.50,40.00,50.00,51.30,,6.29,6.20,6.21,6.06,5.60,0.30,,18.30,18.67,21.00,21.70,21.67,5088.20,5757.10,5471.60,5301.40,8079.90
Guatemala,GTM,"16,087,418","16,346,950","16,604,026","16,858,333","17,109,746","107,159",,53.00,34.20,58.10,60.20,57.90,-,0.65,0.64,0.64,0.64,0.63,42.50,,3.08,4.00,4.00,7.53,7.98,138.3,143.7,141.5,152.1,8664.33,9018.52,8852.95,9769.24,3.32,7.53,,2.99,3.03,2.94,2.95,3.14,3.20,3.30,3.30,444,259.6,271.0,-,95,,2.94,3.14,3.30,3.14,3.30,10.63,10.55,,2.46,2.40,2.19,3.55,3.57,-,97.06,,23.00,21.00,33.00,30.00,-0.57,-0.39,-0.64,-0.75,-0.26,-0.32,-1.06,-1.09,-0.74,-1.17,33.10,36.90,27.30,26.50,63.40,63.20,50.00,50.00,12.50,,1.05,1.11,1.03,1.12,1.16,0.62,,12.70,12.66,19.00,19.40,19.38,275.00,273.10,331.90,342.80,341.80
Guinea,GIN,"12,240,789","12,554,864","12,877,539","13,205,153","13,531,906","245,717",,39.40,-,38.60,40.90,38.10,-,0.46,0.46,0.47,0.47,0.47,28.30,,10.30,0.10,5.62,3.12,3.90,31.0,32.8,34.3,35.4,2559.43,2674.63,2754.42,2878.59,6.36,3.12,,2.42,2.52,2.54,2.32,2.38,1.85,2.20,2.20,57,35.7,43.0,34.7,576,,2.42,2.38,2.20,2.38,2.20,-,14.46,,4.91,6.80,5.02,6.10,6.34,3.10,44.67,,17.00,10.00,24.00,24.00,-0.61,-0.97,-1.04,-0.92,-0.84,-0.96,-1.23,-1.13,-1.01,-1.00,28.20,27.80,26.90,25.60,52.20,54.20,40.00,40.00,25.40,,0.22,0.24,0.27,0.30,0.31,0.50,,21.90,21.93,23.00,16.70,17.00,-,-,-,-,-
Guinea-Bissau,GNB,"1,879,826","1,924,955","1,970,457","2,015,828","2,060,721","28,120",,-,-,-,-,-,-,0.46,0.48,0.49,0.48,0.48,-,,5.92,4.80,4.50,3.80,3.80,3.6,3.7,3.6,3.8,1947.37,2021.14,1948.64,2057.10,1.28,3.80,,2.20,2.30,2.30,2.20,2.14,2.95,2.71,2.71,100,61.2,62.6,58.3,667,,-,2.14,2.71,2.14,2.71,-,-,,5.99,6.50,6.04,6.74,6.76,4.70,33.34,,16.00,17.00,25.00,26.00,-0.60,-0.28,-1.77,-1.42,-1.18,-1.26,-1.44,-1.44,-1.56,-1.30,53.50,14.00,27.30,15.90,56.90,46.00,30.00,30.00,21.90,,0.16,0.17,0.16,0.17,0.17,-,,13.70,13.73,14.00,13.70,13.73,19.00,21.20,22.60,23.30,26.30
Guyana,GUY,"763,252","785,514","798,753","797,202","804,567","196,849",,44.60,-,-,-,-,-,0.65,0.70,0.71,0.72,0.71,42.80,,3.73,3.00,5.35,19.93,20.06,9.7,10.2,14.7,17.6,12775.67,13634.31,19702.97,24493.71,4.44,19.93,,4.36,3.90,4.74,4.66,4.45,-,-,4.45,336,301.4,325.9,4.1,169,,-,4.45,-,4.45,-,-,-,,13.75,11.40,13.99,16.43,16.42,-,92.54,,32.00,30.00,42.00,43.00,-0.04,-0.14,-0.29,-0.24,-0.39,-0.52,-0.29,-0.40,-0.51,-0.17,42.50,47.40,34.80,41.50,58.70,59.50,30.00,30.00,31.20,,2.75,3.27,3.24,3.30,3.64,-,,31.90,31.88,32.00,35.70,35.71,-,-,-,-,-
Haiti,HTI,"10,863,543","11,012,421","11,160,438","11,306,801","11,447,569","27,560",,60.80,28.60,39.20,37.90,38.20,-,0.50,0.54,0.54,0.54,0.54,24.20,,2.51,1.00,-1.68,-1.80,-1.80,35.2,34.6,33.5,32.9,3240.92,3203.04,3094.94,3127.42,1.67,-1.80,,1.75,1.86,1.40,1.50,1.63,-,-,1.63,120,63.1,57.0,3.4,480,,-,1.63,-,1.63,-,-,-,,13.88,13.20,13.91,15.45,15.73,-,46.93,,17.00,11.00,24.00,22.00,-0.70,-1.10,-2.06,-2.19,-1.32,-1.32,-1.09,-1.25,-1.24,-1.42,42.50,18.60,24.60,14.30,55.80,50.00,30.00,30.00,21.90,,0.31,0.31,0.31,0.30,0.29,0.08,,2.50,2.54,3.00,-,-,7.40,14.00,11.30,26.40,20.90
Honduras,HND,"9,626,842","9,792,850","9,958,829","10,121,763","10,278,345","111,890",,47.10,27.20,58.60,57.60,57.70,-,0.62,0.62,0.63,0.62,0.62,41.90,,4.84,3.60,2.65,12.53,12.53,54.5,55.9,50.9,57.3,5816.07,5978.27,5419.79,6252.57,3.84,12.53,,7.09,6.41,5.16,4.94,6.06,4.91,6.44,6.44,353,180.9,187.6,45.6,65,,-,6.06,6.44,6.06,6.44,15.70,-,,5.53,6.30,5.70,8.37,8.51,4.30,93.21,,20.00,21.00,26.00,26.00,-0.55,-0.61,-0.51,-0.78,-0.44,-0.52,-1.05,-1.07,-0.72,-1.07,34.50,29.00,28.20,25.40,60.60,59.50,60.00,60.00,27.90,,1.07,1.00,0.96,1.03,1.05,0.44,,25.80,21.09,21.00,21.10,27.34,398.50,385.30,407.40,350.40,438.10
Hungary,HUN,"9,787,966","9,775,564","9,771,141","9,750,149","9,709,891","89,608",,28.20,26.40,47.60,45.90,45.40,45.70,0.84,0.85,0.85,0.85,0.85,66.10,,4.27,2.90,4.86,7.10,7.12,304.2,318.1,303.9,325.5,62513.96,62103.41,58980.01,65972.56,5.36,7.10,,4.60,4.49,4.61,4.61,4.62,-,-,4.62,"1,912",1074.0,1062.4,17.3,12,,4.63,4.62,-,4.62,-,2.43,2.47,,4.16,5.20,3.42,4.25,4.12,0.10,100.00,,28.00,26.00,44.00,43.00,0.81,0.86,0.51,0.63,0.65,0.50,0.53,0.53,0.09,0.04,57.10,62.20,36.40,44.40,66.70,66.90,70.00,70.00,48.50,,4.41,4.51,4.74,4.75,4.75,0.12,,10.10,12.56,13.00,12.10,13.07,1463.00,1791.50,2051.10,2771.20,2777.10
Iceland,ISL,"343,400","352,721","360,563","366,463","372,520","100,250",,28.00,31.10,46.40,46.90,48.00,53.70,0.94,0.96,0.96,0.96,0.96,83.70,,4.19,4.00,2.42,3.70,4.40,20.0,20.5,19.2,19.9,31913.07,33514.94,33274.35,36752.52,4.89,3.70,,7.64,7.46,7.43,7.58,7.56,-,-,7.56,"4,116",6565.9,6275.0,2.9,4,,-,7.56,-,7.56,-,4.44,5.47,,2.74,3.80,3.51,5.48,5.40,-,100.00,,37.00,37.00,58.00,57.00,1.37,1.37,1.45,1.64,1.43,1.53,1.61,1.75,1.84,1.79,72.60,94.80,77.30,85.30,77.00,77.00,70.00,70.00,43.10,,6.23,4.86,4.86,4.82,4.55,1.00,,47.60,38.10,38.00,38.10,47.62,0.00,0.00,0.00,0.00,0.00
India,IND,"1,354,195,680","1,369,003,306","1,383,112,050","1,396,387,127","1,407,563,842","2,973,193",,35.20,29.20,42.00,40.30,36.40,43.80,0.64,0.65,0.65,0.64,0.63,40.00,,6.80,7.30,3.74,8.95,8.68,"8,811.1","9,140.5","8,537.6","9,301.5",6669.62,6971.69,6525.43,7333.51,6.45,8.95,,-,4.11,4.25,4.31,4.36,4.41,4.47,4.47,238,60.3,63.7,-,145,,-,4.36,4.47,4.36,4.47,-,5.37,,5.36,3.50,5.27,8.00,5.98,1.80,99.00,,35.00,33.00,42.00,33.00,-0.83,-0.62,0.09,0.28,-0.25,-0.08,0.00,-0.08,-0.24,-0.29,54.30,51.50,47.20,42.40,54.50,53.90,40.00,40.00,27.30,,1.63,1.64,1.71,1.79,1.80,0.15,,11.80,11.81,14.00,14.40,14.44,64559.40,66257.80,71468.90,72937.10,76598.00
Indonesia,IDN,"264,498,852","267,066,843","269,582,878","271,857,970","273,753,191","1,811,569",,36.80,35.70,48.30,49.70,49.60,-,0.69,0.71,0.72,0.71,0.71,46.40,,5.07,4.80,5.02,3.69,3.69,"3,043.9","3,196.7","3,130.6","3,246.2",11643.40,12310.63,12072.44,12904.34,5.17,3.69,,3.29,3.58,3.50,2.67,3.00,2.84,-,2.84,369,111.7,120.1,42.6,177,,3.29,3.00,2.84,3.00,2.84,5.62,-,,3.88,5.60,3.62,4.28,4.41,0.50,96.95,,30.00,30.00,34.00,29.00,-0.51,-0.51,0.04,0.38,-0.11,0.30,-0.35,-0.22,-0.25,-0.43,45.20,43.20,42.80,39.90,64.20,64.40,60.00,60.00,17.60,,1.89,1.84,1.96,2.16,2.29,0.11,,19.80,19.82,17.00,20.30,21.04,8797.50,7493.70,8154.20,9387.00,8259.30
Iran,IRN,"84,505,076","85,617,562","86,564,202","87,290,193","87,923,432","1,531,595",,44.50,24.00,41.30,38.80,43.60,41.90,0.80,0.79,0.78,0.78,0.77,48.00,,2.76,-2.30,-2.66,1.76,4.72,"1,252.5","1,235.7","1,257.5","1,319.3",15677.43,15532.52,15791.16,16484.10,-2.25,1.76,,2.80,2.80,3.37,3.79,3.96,3.66,3.59,3.59,"1,262",484.3,470.4,21.3,16,,2.80,3.96,3.59,3.96,3.59,-,0.14,,12.23,11.30,10.74,12.17,11.46,0.20,100.00,,7.00,4.00,11.00,10.00,-0.93,-1.62,-0.19,-0.86,-1.20,-1.62,-0.68,-0.95,-0.81,-1.10,35.30,29.40,32.60,19.80,50.90,42.40,10.00,10.00,17.20,,7.33,7.29,7.41,7.45,7.60,0.05,,5.90,5.88,6.00,5.60,5.59,13931.20,11230.90,12528.50,15825.10,24589.10
Iraq,IRQ,"39,621,162","40,590,700","41,563,520","42,556,984","43,533,592","437,367",,-,26.50,42.40,45.40,45.30,45.10,0.69,0.69,0.70,0.68,0.69,37.00,,-1.82,2.40,5.51,2.78,2.78,405.7,428.1,379.6,390.2,10808.21,11349.40,9954.35,10408.94,2.63,2.78,,-,4.49,4.71,-,-,-,-,-,481,239.4,253.3,1.5,79,,-,-,-,-,-,-,-,,13.02,16.00,12.86,14.09,14.19,-,100.00,,16.00,16.00,15.00,13.00,-2.33,-2.40,-1.27,-1.29,-1.20,-1.11,-1.64,-1.73,-1.37,-1.25,11.40,-,23.40,-,-,-,-,-,42.70,,3.53,3.68,3.91,4.02,4.44,0.04,,25.30,25.23,25.00,26.40,28.88,7416.40,6318.00,7598.80,5649.40,4728.20
Ireland,IRL,"4,807,388","4,867,316","4,934,340","4,985,382","5,033,165","68,883",,31.30,30.00,50.90,49.90,51.10,52.10,0.94,0.94,0.94,0.94,0.95,80.30,,9.01,7.80,5.44,13.48,13.59,407.5,427.6,452.6,513.7,84555.63,87379.69,93350.09,106455.75,9.03,13.48,,4.88,3.76,3.74,3.51,3.39,-,-,3.39,"5,335",5484.2,5428.6,11.1,5,,-,3.39,-,3.39,-,0.00,0.14,,6.71,8.10,4.95,5.62,6.63,-,100.00,,39.00,39.00,57.00,58.00,1.02,0.86,1.29,1.50,1.59,1.56,1.43,1.53,1.55,1.65,79.00,93.00,79.00,80.70,80.40,82.00,70.00,70.00,31.90,,7.88,8.16,7.86,7.74,7.25,0.30,,22.20,22.15,22.00,22.50,22.50,1025.10,1107.10,1112.70,1144.40,1267.70
Israel,ISR,"8,713,300","8,882,800","9,054,000","9,215,100","9,364,000","20,330",,42.80,28.80,50.60,47.30,48.20,50.10,0.90,0.92,0.92,0.92,0.92,66.50,,4.28,2.60,4.16,8.19,8.61,354.5,367.8,359.9,389.4,39906.12,40004.03,39489.28,43721.62,3.98,8.19,,5.77,5.86,5.86,6.06,6.11,-,-,6.11,"2,819",3329.2,3456.4,2.5,3,,5.74,6.11,-,6.11,-,0.31,0.50,,4.22,5.60,3.80,4.33,5.05,0.20,100.00,,36.00,34.00,43.00,42.00,-0.88,-1.06,1.39,1.29,1.27,1.21,1.02,0.94,0.83,0.86,83.10,85.00,61.20,65.20,72.20,68.00,70.00,70.00,40.10,,7.89,7.60,7.53,6.88,6.92,0.02,,27.50,27.50,23.00,27.50,28.33,19357.00,19899.80,20339.20,21816.60,24341.00
Italy,ITA,"60,536,709","60,421,760","59,729,081","59,438,851","59,109,668","294,140",,31.90,28.10,49.50,51.20,50.70,52.60,0.88,0.89,0.90,0.89,0.90,69.10,,1.67,0.80,0.48,6.64,6.74,"2,540.5","2,553.2","2,322.8","2,477.1",43036.24,44376.16,41987.82,45936.00,0.93,6.64,,4.06,4.07,3.82,4.04,4.26,-,-,4.26,"3,351",3000.7,2905.5,11.4,2,,4.08,4.26,-,4.26,-,3.15,3.50,,11.21,11.50,9.95,9.16,9.83,1.00,100.00,,36.00,36.00,53.00,54.00,0.24,0.58,0.50,0.36,0.70,0.55,0.32,0.27,0.19,0.54,60.90,78.60,40.10,57.30,62.50,65.40,50.00,50.00,50.30,,5.56,5.50,5.44,5.38,5.31,0.41,,31.00,35.71,36.00,35.70,35.71,26447.90,28420.10,26380.70,28921.30,32006.10
Jamaica,JAM,"2,808,376","2,811,835","2,813,773","2,820,436","2,827,695","10,831",,35.00,36.90,55.30,56.50,57.90,-,0.73,0.72,0.72,0.71,0.71,49.70,,1.00,1.10,0.89,4.60,4.60,28.6,28.8,25.9,27.1,9967.43,10189.64,9240.82,10025.90,1.89,4.60,,6.02,5.46,5.31,5.26,5.41,5.16,5.62,6.03,511,319.9,327.4,12.9,80,,6.02,5.41,6.03,5.41,6.03,26.46,33.30,,11.63,13.30,7.69,9.48,9.18,-,100.00,,34.00,34.00,43.00,46.00,0.25,0.22,0.49,0.41,0.14,0.20,-0.16,-0.17,-0.17,-0.03,56.60,70.60,39.40,49.00,69.10,67.40,50.00,50.00,27.60,,2.54,2.70,2.57,3.06,2.85,0.11,,17.50,17.46,17.00,28.60,28.57,143.50,209.70,266.00,236.90,209.80
Japan,JPN,"126,972,000","126,811,000","126,633,000","126,261,000","125,681,593","364,485",,37.90,28.30,47.40,46.60,47.10,50.30,0.91,0.92,0.92,0.92,0.93,75.20,,1.68,0.50,-0.24,1.62,1.66,"5,293.0","5,280.3","5,042.3","5,124.0",42116.47,42282.55,42100.26,42940.41,0.58,1.62,,3.55,-,3.15,3.13,3.08,-,-,3.08,"4,405",4256.1,4360.5,8.9,5,,3.59,3.08,-,3.08,-,-,-,,2.80,3.10,2.40,2.80,2.80,-,100.00,,40.00,40.00,56.00,56.00,1.12,1.03,1.62,1.40,1.37,1.38,1.57,1.58,1.52,1.57,73.20,95.30,79.20,81.40,72.30,69.90,60.00,60.00,39.10,,9.28,9.19,9.10,8.80,8.54,0.17,,9.30,10.11,10.00,9.90,9.68,45058.50,48535.90,50970.70,51970.80,54123.60
Jordan,JOR,"10,215,381","10,459,865","10,698,683","10,928,721","11,148,278","88,802",,39.70,-,47.00,45.50,43.90,40.90,0.74,0.72,0.73,0.72,0.72,48.70,,2.47,2.50,1.93,2.21,2.23,99.8,101.7,100.2,102.4,10252.62,10496.44,10354.16,10952.01,1.93,2.21,,3.80,3.45,3.45,3.23,2.98,2.99,-,2.99,568,335.2,334.0,1.8,46,,-,2.98,2.99,2.98,-,19.02,20.08,,18.14,13.20,16.81,19.03,19.25,-,99.90,,12.00,11.00,25.00,22.00,-0.53,-0.28,0.12,0.23,0.10,0.15,0.26,0.21,0.26,0.05,57.30,42.60,51.90,49.50,64.90,60.10,60.00,60.00,32.00,,2.67,2.49,2.56,2.37,2.44,0.01,,15.40,15.38,15.00,11.50,11.54,1939.70,1957.70,2032.10,2055.90,2176.80
Kazakhstan,KAZ,"18,037,776","18,276,452","18,513,673","18,755,666","19,000,988","2,699,700",,26.30,19.10,35.70,36.70,38.60,38.80,0.80,0.81,0.82,0.81,0.81,57.70,,4.10,1.20,4.50,4.00,4.30,466.9,487.9,475.7,494.7,26154.60,27463.97,26750.45,28599.99,4.10,4.00,,3.42,2.79,2.98,2.75,2.62,2.86,-,2.86,903,275.9,273.0,31.2,10,,-,2.62,2.86,2.62,-,0.99,9.61,,4.90,5.20,4.80,4.89,4.90,-,100.00,,5.00,5.00,17.00,18.00,0.02,-0.25,0.01,0.06,0.17,0.09,-0.41,-0.49,-0.82,-0.24,58.10,34.50,44.60,37.90,69.10,64.40,50.00,50.00,22.20,,10.87,11.36,11.90,11.85,11.46,0.09,,27.10,27.10,27.00,27.10,27.10,1390.60,1498.40,1853.50,1548.20,1617.80
Kenya,KEN,"48,948,137","49,953,304","50,951,450","51,985,780","53,005,614","569,140",,48.50,24.20,43.70,45.10,45.20,45.30,0.59,0.58,0.58,0.58,0.58,35.40,,3.84,5.60,5.11,7.52,7.52,223.0,234.4,233.9,251.4,4443.45,4647.41,4587.19,5023.51,5.65,7.52,,4.72,4.74,4.90,4.96,5.11,4.97,5.08,4.80,157,73.5,83.4,15.7,342,,5.28,5.11,4.80,5.11,4.80,-,-,,3.51,11.00,5.01,5.73,5.74,-,71.44,,19.00,19.00,29.00,29.00,-1.08,-1.09,-0.31,-0.33,-0.23,-0.45,-0.41,-0.39,-0.96,-0.71,44.00,39.00,27.50,30.90,54.70,52.60,50.00,50.00,27.40,,0.37,0.40,0.39,0.35,0.42,0.88,,21.80,21.78,22.00,21.80,21.61,1015.40,1113.60,1116.90,1115.30,1113.30
